serial_number,ncbi_name,abundance,abundance_mean
EG23-HU08-NGS-S4H5,Bacteroides,0.19302245250431768,0.28116486555957965
EG23-HU08-NGS-S4H5,Prevotella,0.0020034542314335,0.13334685553129288
EG23-HU08-NGS-S4H5,Faecalibacterium,0.5346113989637306,0.10010945880299157
EG23-HU08-NGS-S4H5,Bifidobacterium,0.0153022452504318,0.0568037262498244
EG23-HU08-NGS-S4H5,Blautia,0.0210708117443867,0.04022390887295888
EG23-HU08-NGS-S4H5,Alistipes,0.0026597582037996,0.011620922077697595
EG23-HU08-NGS-S4H5,Streptococcus,0.0016234887737478,0.009004116699213496
EG23-HU08-NGS-S4H5,Dorea,0.0027288428324697,0.007478260992192566
EG23-HU08-NGS-S4H5,Lactobacillus,0.0017962003454231,0.006761484258672372
EG23-HU08-NGS-S4H5,Roseburia,0.0152331606217616,0.003598606458256449
