sample_name,ncbi_name,abundance,abundance_mean
EG23-HU08-NGS-S4H5,Proteobacteria,0.0573747841105354,0.06353462824825175
EG23-HU08-NGS-S4H5,Escherichia coli,0.004352331606217581,0.022009821134615387
EG23-HU08-NGS-S4H5,Shigella,0.004352331606217581,0.022009821134615387
EG23-HU08-NGS-S4H5,Ruminococcus,0.0022797927461141,0.01329550498688811
EG23-HU08-NGS-S4H5,Actinobacteria,0.0034887737478410015,0.009807003103146857
EG23-HU08-NGS-S4H5,Ruminococcus gnavus,0.0011053540587219,0.009266101511363636
EG23-HU08-NGS-S4H5,Klebsiella,0.000587219343696,0.006125803476398601
EG23-HU08-NGS-S4H5,Klebsiella pneumoniae,0.0002072538860103,0.003919519534965035
EG23-HU08-NGS-S4H5,Clostridium difficile,0.0050086355785837,0.0026126793548951048
EG23-HU08-NGS-S4H5,Ruminococcus torques,0.0001727115716753,0.0019064906459790208
